CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
142,1401,RR,140023,Caroebe,10383,105.94240585572571,11.0,4.0,1.0,5.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,13.0,7.0,-6.0,-46.15384615384615,-57.78676683039584,125.20466146585765,-54.54545454545454
143,1401,RR,140028,Iracema,12296,56.92908262849708,7.0,6.0,1.0,8.0,4.0,3.0,4.0,2.0,0.0,2.0,0.0,21.0,9.0,-12.0,-57.14285714285714,-97.59271307742355,170.7872478854912,-171.42857142857142
144,1401,RR,140030,Mucajaí,18172,115.56240369799693,21.0,8.0,2.0,5.0,3.0,8.0,3.0,2.0,2.0,1.0,1.0,24.0,11.0,-13.0,-54.16666666666667,-71.53863086066475,132.07131851199648,-61.904761904761905
145,1401,RR,140040,Normandia,11532,216.78806798473812,25.0,3.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,17.0,7.0,-10.0,-58.82352941176471,-86.71522719389526,147.41588622962192,-40.0
146,1401,RR,140045,Pacaraima,18913,158.62105430127426,30.0,5.0,5.0,10.0,4.0,0.0,2.0,2.0,1.0,2.0,0.0,19.0,12.0,-7.0,-36.8421052631579,-37.01157933696399,100.46000105747369,-23.333333333333332
147,1401,RR,140047,Rorainópolis,30782,100.7082060944708,31.0,5.0,10.0,9.0,13.0,5.0,3.0,2.0,0.0,3.0,5.0,24.0,31.0,7.0,29.166666666666675,22.740562666493407,77.96764342797739,22.58064516129032
148,1401,RR,140050,São João da Baliza,8348,35.93675131768088,3.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,-1.0,-25.0,-11.978917105893627,47.91566842357451,-33.33333333333333
149,1401,RR,140060,São Luiz,8110,61.652281134401974,5.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,2.0,5.0,10.0,5.0,100.0,61.652281134401974,61.652281134401974,100.0
150,1401,RR,140070,Uiramutã,10789,55.61219760867551,6.0,6.0,2.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,12.0,9.0,-3.0,-25.0,-27.806098804337754,111.22439521735102,-50.0
151,1509,PA,150013,Abel Figueiredo,7486,40.074806305102854,3.0,9.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,16.0,5.0,-11.0,-68.75,-146.94095645204382,213.73230029388193,-366.66666666666663
