CO_MUNICIP,CO_MACSAUD
230655,2309
230725,2309
230780,2309
230790,2309
230800,2309
230820,2309
230860,2309
230880,2309
230890,2309
230900,2309
230930,2309
230940,2309
230990,2309
231095,2309
231100,2309
231126,2309
231170,2309
231200,2309
231220,2309
231230,2309
231280,2309
231290,2309
231320,2309
231340,2309
231360,2309
231390,2309
231395,2309
231410,2309
230015,2310
230075,2310
230090,2310
230100,2310
230120,2310
230140,2310
230195,2310
230210,2310
230220,2310
230290,2310
230350,2310
230370,2310
230395,2310
230428,2310
230440,2310
230460,2310
230495,2310
230510,2310
230523,2310
230625,2310
230630,2310
230640,2310
230650,2310
230765,2310
230770,2310
230837,2310
230910,2310
230945,2310
230960,2310
230970,2310
230980,2310
231010,2310
231020,2310
231025,2310
231070,2310
231085,2310
231160,2310
231240,2310
231260,2310
231335,2310
231350,2310
231355,2310
231375,2310
231380,2310
240020,2401
240040,2401
240050,2401
240060,2401
240070,2401
240080,2401
240090,2401
240100,2401
240110,2401
240130,2401
240145,2401
240230,2401
240250,2401
240290,2401
240320,2401
240330,2401
240370,2401
240375,2401
240390,2401
240400,2401
240430,2401
240440,2401
240470,2401
240485,2401
240490,2401
240520,2401
240590,2401
240600,2401
240690,2401
240700,2401
240725,2401
240730,2401
240740,2401
240760,2401
240800,2401
240840,2401
240860,2401
240870,2401
240930,2401
240940,2401
240990,2401
241000,2401
241020,2401
241025,2401
241050,2401
241060,2401
241070,2401
241080,2401
241100,2401
241105,2401
241190,2401
241250,2401
241280,2401
241335,2401
241355,2401
241360,2401
241380,2401
241410,2401
241445,2401
241450,2401
241460,2401
241475,2401
241490,2401
240010,2402
240030,2402
240120,2402
240140,2402
240150,2402
240160,2402
240165,2402
240170,2402
240180,2402
240185,2402
240190,2402
240200,2402
240210,2402
240220,2402
240240,2402
240260,2402
240270,2402
240280,2402
240300,2402
240310,2402
240325,2402
240340,2402
240350,2402
240360,2402
240380,2402
240410,2402
240420,2402
240450,2402
240460,2402
240480,2402
240500,2402
240510,2402
240530,2402
240540,2402
240550,2402
240560,2402
240570,2402
240580,2402
240610,2402
240615,2402
240620,2402
240630,2402
240640,2402
240650,2402
240660,2402
240670,2402
240680,2402
240710,2402
240720,2402
240750,2402
240770,2402
240780,2402
240790,2402
240810,2402
240820,2402
240830,2402
240850,2402
240880,2402
240890,2402
240895,2402
240910,2402
240920,2402
240933,2402
240950,2402
240960,2402
240970,2402
240980,2402
241010,2402
241030,2402
241040,2402
241090,2402
241110,2402
241120,2402
241140,2402
241142,2402
241150,2402
241160,2402
241170,2402
241180,2402
241200,2402
241210,2402
241220,2402
241230,2402
241240,2402
241255,2402
241260,2402
241270,2402
241290,2402
241300,2402
241310,2402
241320,2402
241330,2402
241340,2402
241350,2402
241370,2402
241390,2402
241400,2402
241415,2402
241420,2402
241430,2402
241440,2402
241470,2402
241480,2402
241500,2402
250010,2501
250020,2501
250070,2501
250077,2501
250115,2501
250200,2501
250205,2501
250210,2501
250220,2501
250230,2501
250240,2501
250260,2501
250280,2501
250290,2501
250330,2501
250340,2501
250355,2501
250370,2501
250375,2501
250410,2501
250420,2501
250430,2501
250440,2501
250450,2501
250480,2501
250530,2501
250540,2501
250550,2501
250560,2501
250590,2501
250660,2501
250670,2501
250700,2501
250740,2501
250780,2501
250800,2501
250810,2501
250840,2501
250870,2501
250880,2501
250900,2501
250915,2501
250937,2501
250939,2501
250960,2501
251000,2501
251020,2501
251040,2501
251070,2501
251080,2501
251090,2501
251100,2501
251130,2501
251203,2501
251207,2501
251210,2501
251230,2501
251260,2501
251280,2501
251300,2501
251320,2501
251330,2501
251335,2501
251340,2501
251350,2501
251360,2501
251365,2501
251380,2501
251390,2501
251392,2501
251396,2501
251398,2501
251420,2501
251430,2501
251440,2501
251450,2501
251455,2501
251460,2501
251465,2501
251470,2501
251490,2501
251570,2501
251620,2501
251660,2501
251670,2501
251680,2501
251690,2501
251710,2501
251720,2501
250030,2502
250040,2502
250053,2502
250057,2502
250073,2502
250090,2502
250110,2502
250120,2502
250130,2502
250135,2502
250153,2502
250157,2502
250160,2502
250170,2502
250215,2502
250250,2502
250310,2502
250390,2502
250400,2502
250407,2502
250435,2502
250470,2502
250485,2502
250500,2502
250510,2502
250535,2502
250600,2502
250610,2502
250620,2502
250625,2502
250650,2502
250770,2502
250830,2502
250850,2502
250920,2502
250933,2502
250950,2502
250970,2502
250990,2502
251010,2502
251030,2502
251050,2502
251060,2502
251065,2502
251110,2502
251140,2502
251200,2502
251220,2502
251240,2502
251250,2502
251270,2502
251278,2502
251315,2502
251385,2502
251394,2502
251400,2502
251410,2502
251480,2502
251510,2502
251520,2502
251540,2502
251550,2502
251580,2502
251610,2502
251615,2502
251630,2502
251650,2502
251675,2502
251700,2502
251740,2502
250050,2503
250060,2503
250080,2503
250100,2503
250140,2503
250150,2503
250180,2503
250190,2503
250270,2503
250300,2503
250320,2503
250350,2503
250360,2503
250380,2503
250403,2503
250415,2503
250460,2503
250490,2503
250520,2503
250523,2503
250527,2503
250570,2503
250580,2503
250630,2503
250640,2503
250680,2503
250690,2503
250710,2503
250720,2503
250730,2503
250750,2503
250760,2503
250790,2503
250820,2503
250855,2503
250860,2503
250890,2503
250905,2503
250910,2503
250930,2503
250940,2503
250980,2503
251120,2503
251150,2503
251160,2503
251170,2503
251180,2503
251190,2503
251272,2503
251274,2503
251275,2503
251276,2503
251290,2503
251310,2503
251370,2503
251445,2503
251500,2503
251530,2503
251560,2503
251590,2503
251593,2503
251597,2503
251600,2503
251640,2503
260020,2605
260110,2605
260160,2605
260200,2605
260300,2605
260430,2605
260515,2605
260530,2605
260630,2605
260730,2605
260875,2605
260930,2605
260980,2605
260990,2605
261040,2605
261110,2605
261220,2605
261245,2605
261255,2605
261260,2605
261400,2605
261430,2605
261520,2605
261560,2605
261610,2605
260010,2606
260120,2606
260180,2606
260250,2606
260280,2606
260340,2606
260390,2606
260392,2606
260510,2606
260560,2606
260570,2606
260660,2606
260690,2606
260700,2606
260710,2606
260740,2606
260770,2606
260805,2606
260915,2606
261080,2606
261100,2606
261153,2606
261247,2606
261280,2606
261350,2606
261360,2606
261390,2606
261410,2606
261440,2606
261460,2606
261480,2606
261570,2606
261580,2606
261590,2606
261600,2606
260005,2607
260040,2607
260070,2607
260090,2607
260105,2607
260140,2607
260150,2607
260220,2607
260270,2607
260290,2607
260345,2607
260360,2607
260400,2607
260415,2607
260420,2607
260440,2607
260450,2607
260460,2607
260480,2607
260490,2607
260520,2607
260540,2607
260545,2607
260550,2607
260590,2607
260610,2607
260620,2607
260680,2607
260720,2607
260760,2607
260765,2607
260775,2607
260780,2607
260790,2607
260795,2607
260810,2607
